States,PIB2020
Aguascalientes,204726.037
Baja California,553650.356
Baja California Sur,121985.608
Campeche,481994.49
Chiapas,535558.427
Chihuahua,101247.641
Coahuila,254356.257
Colima,538030.466
Ciudad de México,2856750.909
Durango,189703.349
Guanajuato,650174.559
Guerrero,219138.427
Hidalgo,243488.874
Jalisco,1125698.536
Estado de México,1484568.874
Michoacán,396644.274
Morelos,179567.493
Nayarit,107124.831
Nuevo León,1267121.013
Oaxaca,237176.764
Puebla,531159.173
Querétaro,365428.624
Quintana Roo,222133.89
San Luis Potosí,341481.841
Sinaloa,369802.681
Sonora,551290.303
Tabasco,464462.272
Tamaulipas,473081.269
Tlaxcala,90940.71
Veracruz,737613.128
Yucatán,242545.35
Zacatecas,145329.949
